,Slug,Show,Web Address,Producer,Creator,Pilot,Finale,Seasons,Episodes,Hours,IMDB Rating,IMDB Rating Count,Amazon Rating,iTunes Rating,Metacritic Average of All Seasons,List of Providers it's available on,Netflix URL,Hulu URL,Amazon URL,iTunes URL,Vudu URL,HBO URL,Google Play URL
1,breaking-bad,Breaking Bad,http://www.amc.com/shows/breaking-bad,AMC,Vince Gilligan,1/20/08,9/29/13,5,62,50,9.5,"1,053,771",4.6,4.1,73,AMC,https://www.netflix.com/ph/title/70143836,https://www.hulu.com/grid/breaking-bad,-,https://itunes.apple.com/us/tv-season/breaking-bad-the-complete.../id940287472,https://www.vudu.com/movies/#!overview/207559/Breaking-Bad-Season-1,,https://play.google.com/store/tv/show/Breaking_Bad?id=L2wfgMDGiBk&hl=en
2,stranger-things,Stranger Things,www.strangerthingsfilm.com,Shawn Levy ,the Duffer Brothers,15-Jul-16,28-Oct-17,2,17,55,9,"439,947",4,4.8,76,Netflix,https://www.netflix.com/ph/title/80057281,-,-,https://itunes.apple.com/us/album/stranger-things-2-netflix-original.../1294969586,https://www.vudu.com/movies/#!episodes/833273/833241/...Stranger-Things,,https://play.google.com/store/tv/show/Stranger_Things?id...hl=en
3,downton-abbey,Downton Abbey,downtonabbeyonline.com,Carnival Films and Masterpiece, Julian Fellowes,26-Sep-10,6-Mar-16,6,52,54,8.7,"129,058",4.9,4.4,91,"PBS, ITV",https://www.netflix.com/title/70213223,-,https://www.primevideo.com/detail/0I5LWTRUOEMDFWO0JOB1XU8EAG/ref=sr_hom_c_unkc_1_1?sr=1-1&qid=1516351121,https://itunes.apple.com/us/tv-season/downton-abbey-the-complete.../id1086202369,https://www.vudu.com/movies/#!overview/381090/Downton-Abbey-Season-1,,https://play.google.com/store/tv/show/Downton_Abbey?id=-5VM5DCTWfk&hl...
4,parenthood,Parenthood,https://www.nbc.com/parenthood,NBC,Jason Katims,2-Mar-10,29-Jan-15,6,103,44,8.2,"26,234",4.7,4.3,61,NBC,https://www.netflix.com/title/7015730,https://www.hulu.com/parenthood,-,https://itunes.apple.com/us/tv-season/parenthood-season-1/id354775401,https://www.vudu.com/movies/#!overview/214963/Parenthood-Season-1,,https://play.google.com/store/tv/show/Parenthood?id=hPevUg5O_HM&hl=en
5,game-of-thrones,Game of Thrones,https://www.hbo.com/game-of-thrones,HBO,David Benioff and D. B. Weiss,17-Apr-11,27-Aug-17,7,67,55,9.5,"1,281,186",4.5,4.2,80,HBO,https://dvd.netflix.com/list/game-of-thrones,-,-,https://itunes.apple.com/us/tv-season/game-of-thrones-season-7/id1240985386,https://www.vudu.com/movies/#!content/296646/Game-of-Thrones-Season-1,https://www.hbo.com/game-of-thrones/season-01,https://play.google.com/store/tv/show/Game_of_Thrones?id=UBWMnSm4n5A&hl...
6,narcos,Narcos,http://Netflix.com/narcos,Netflix,Chris Brancato,28-Aug-15,5-Sep-17,3,30,50,8.9,"232,016",4.5,4.7,77,Netflix,http://Netflix.com/narcos,-,-,-,-,,-
7,the-x-files,The X-Files,www.fox.com/thexfiles,FOX,Chris Carter,10-Sep-93,22-Feb-16,10,208,45,8.7,"168,925",4.7,4.7,70,FOX,https://www.netflix.com/title/70136138,https://www.hulu.com/the-xfiles,-,https://itunes.apple.com/us/tv-season/the-x-files-season-1/id282946588,https://www.vudu.com/movies/#!content/796407/The-X-Files-Complete-Seasons-1,,https://play.google.com/store/tv/show/The_X_Files?id=DJkjTnDHAdg&hl=en
8,silicon-valley,Silicon Valley,https://www.hbo.com/silicon-valley,HBO,Mike Judge,6-Apr-14,25-Jun-17,4,8,30,8.6,"86,105",4.9,4.1,84,HBO,https://dvd.netflix.com/Movie/Silicon-Valley/70302008,https://www.hulu.com/silicon-valley-2012,-,https://itunes.apple.com/us/tv-season/silicon-valley-season-1/id849050573,https://www.vudu.com/movies/#!content/561420/Silicon-Valley-Season-1,https://www.hbo.com/silicon-valley,https://play.google.com/store/tv/show/Silicon_Valley?id=Y5cw5EDM0bk&hl=en
9,jessica-jones,Jessica Jones,www.netflix.com/marvelsjessicajones,Netflix,Brian Michael Bendis and Michael Gaydos,20-Nov-15,22-Dec-15,1,13,50,8.1,"142,700",4.7,4.8,81,Netflix,www.netflix.com/marvelsjessicajones,-,,https://itunes.apple.com/au/tv-season/marvels-jessica-jones-season-1/id1170176179,https://www.vudu.com/movies/#!content/826440/Jessica-Jones-AKA-Smile,,https://play.google.com/store/tv/show/Marvel_s_Jessica_Jones?id=O3eN1AWnJZk...
10,the-punisher,The Punisher,www.netflix.com/punisher,Netflix, Gerry Conway,17-Nov-17,17-Nov-17,1,12,55,8.8,"76,202",4.5,4.2,54,Netflix,www.netflix.com/punisher,-,,https://itunes.apple.com/us/movie/the-punisher/id253664613,https://www.vudu.com/movies/#!content/6685/The-Punisher,,https://play.google.com/store/tv/show?id=9E70672660D4080CSH
11,a-handmaids-tale,A Handmaid's Tale,www.hulu.com/the-handmaids-tale, Hulu ,Bruce Miller,26-Apr-17,14-Jun-17,2,23,50,8.6,"50,964",4.5,3.4,92,Hulu,-,https://www.hulu.com/the-handmaids-tale,,https://itunes.apple.com/us/tv-season/the-handmaids-tale-season-1/id1222181719,https://www.vudu.com/movies/#!episodes/874206/874206/The-Handmaids-Tale...1,,https://play.google.com/store/tv/show/The_Handmaid_s_Tale?id=BgBUS9PVv
12,the-it-crowd,The I.T. Crowd,http://www.channel4.com/programmes/the-it-crowd,Channel 4,Graham Linehan,3-Feb-06,Sep-13,4,24,24,8.6,"105,383",4.7,4.5,67,Channel 4,https://www.netflix.com/title/70140450,https://www.hulu.com/the-it-crowd,,https://itunes.apple.com/us/tv-season/the-it-crowd-season-4/id381330026,www.vudu.com/movies/#!overview/208215/The-IT-Crowd-Tramps-Like-Us,,https://play.google.com/store/tv/show/The_IT_Crowd?id=EQK5FCTyqKs&hl=en
13,dead-like-me,Dead Like Me,www.deadlikeme.tv,Showtime,Bryan Fuller,27-Jun-03,31-Oct-04,2,29,50,8.1,"36,413",4.9,4.9,-,Showtime,https://www.netflix.com/gb/title/70112370,https://www.hulu.com/dead-like-me,,https://itunes.apple.com/us/tv-season/dead-like-me-season-1/id260811749,https://www.vudu.com/movies/#!content/143215/Dead-Like-Me-Life-After-Death,,-
14,firefly,Firefly,n/a,FOX,Joss Whedon,13-Dec-02,19-Aug-03,1,14,44,9.1,"209,473",4.7,4.9,63,FOX,https://www.netflix.com/ca/title/70202753,https://www.hulu.com/firefly,,https://itunes.apple.com/us/tv-season/firefly-the-complete-series/id151801083,https://www.vudu.com/movies/#!content/129298,,https://play.google.com/store/tv/show/Firefly?id=xNs-Ugf4fsc&hl=en
15,arrested-development,Arrested Development,n/a,Netflix, Mitchell Hurwitz,2-Nov-03,10-Feb-06,4,68,22,8.9,"234,327",4.5,4.8,89,"FOX, Netflix",https://www.netflix.com/title/70140358,https://www.hulu.com/arrested-development,,https://itunes.apple.com/us/tv-season/arrested-development-season-1/id213365539,https://www.vudu.com/movies/#!content/553242/Arrested-Development-Blockheads,,https://play.google.com/store/tv/show/Arrested_Development?id=OLpDRzeHJko...
